Number: 76, Name: E, Octave: 5, Note: E5, Start: 38541, End: 38678, Duration: 137, Channel: 0
Number: 78, Name: F#, Octave: 5, Note: F#5, Start: 38686, End: 38731, Duration: 45, Channel: 0
Number: 66, Name: F#, Octave: 4, Note: F#4, Start: 38735, End: 38927, Duration: 192, Channel: 0
Number: 71, Name: B, Octave: 4, Note: B4, Start: 38735, End: 38927, Duration: 192, Channel: 0
Number: 76, Name: E, Octave: 5, Note: E5, Start: 38735, End: 38927, Duration: 192, Channel: 0
Number: 74, Name: D, Octave: 5, Note: D5, Start: 38928, End: 39024, Duration: 96, Channel: 0
Number: 73, Name: C#, Octave: 5, Note: C#5, Start: 39122, End: 39218, Duration: 96, Channel: 0
Number: 71, Name: B, Octave: 4, Note: B4, Start: 39315, End: 39411, Duration: 96, Channel: 0
Number: 61, Name: C#, Octave: 4, Note: C#4, Start: 39509, End: 39702, Duration: 193, Channel: 0
Number: 66, Name: F#, Octave: 4, Note: F#4, Start: 39509, End: 39702, Duration: 193, Channel: 0
Number: 69, Name: A, Octave: 4, Note: A4, Start: 39509, End: 39702, Duration: 193, Channel: 0
Number: 73, Name: C#, Octave: 5, Note: C#5, Start: 39509, End: 39702, Duration: 193, Channel: 0
Number: 61, Name: C#, Octave: 4, Note: C#4, Start: 39896, End: 40079, Duration: 183, Channel: 0
Number: 69, Name: A, Octave: 4, Note: A4, Start: 40090, End: 40227, Duration: 137, Channel: 0
Number: 71, Name: B, Octave: 4, Note: B4, Start: 40235, End: 40280, Duration: 45, Channel: 0
Number: 59, Name: B, Octave: 3, Note: B3, Start: 40283, End: 40476, Duration: 193, Channel: 0
Number: 62, Name: D, Octave: 4, Note: D4, Start: 40283, End: 40476, Duration: 193, Channel: 0
Number: 69, Name: A, Octave: 4, Note: A4, Start: 40283, End: 40476, Duration: 193, Channel: 0
Number: 68, Name: G#, Octave: 4, Note: G#4, Start: 40477, End: 40573, Duration: 96, Channel: 0
